key,en,id
feature_others.access_code_reset_text,"If you forget it, you can remove the access code by clicking Reset button below 3 times.","Jika Anda lupa, Anda dapat menghapus kode akses dengan mengklik tombol Atur Ulang di bawah 3 kali."
feature_others.access_code_reset_button,Reset,Atur Ulang
feature_others.access_code_has_been_reset,Access code has been reset,Kode akses berhasil diatur ulang
feature_others.language,Language,Bahasa
feature_others.change_language,Change Language,Ganti Bahasa
feature_others.information,Information,Informasi
feature_others.application_usage_guide,Application Usage Guide,Panduan Penggunaan Aplikasi
feature_others.printer_connection_guide,Printer Connection Guide,Panduan Koneksi Printer
feature_others.website,Website,Halaman Web
feature_others.website_not_available,Website not available yet,Website belum tersedia
feature_others.application_usage_guide_content.title_1,"1. Manage Outlet Information","1. Atur Informasi Outlet"
feature_others.application_usage_guide_content.desc_1,"Set the name, address, and phone number of the outlet for information on the receipt","Atur nama, alamat, dan no. telfon outlet untuk informasi di struk"
feature_others.application_usage_guide_content.button_text_1,"Manage Outlet","Atur Outlet"
feature_others.application_usage_guide_content.title_2,"2. Add Product Category","2. Tambahkan Kategori Produk"
feature_others.application_usage_guide_content.desc_2,"Set Product Categories to make it easier to filter products","Atur Kategori Produk untuk memudahkan penyaringan produk"
feature_others.application_usage_guide_content.button_text_2,"Manage Product Category","Atur Kategori Produk"
feature_others.application_usage_guide_content.title_3,"3. Add Product","3. Tambahkan Produk"
feature_others.application_usage_guide_content.desc_3,"Manage Products sold in the Outlet","Atur Produk yang dijual di dalam Outlet"
feature_others.application_usage_guide_content.button_text_3,"Manage Product","Atur Produk"
feature_others.application_usage_guide_content.title_4,"4. Add Payment Method","4. Tambahkan Metode Pembayaran"
feature_others.application_usage_guide_content.desc_4,"Set the Payment Method provided in the outlet transaction","Atur Metode Pembayaran yang disediakan dalam transaksi toko"
feature_others.application_usage_guide_content.button_text_4,"Manage Payment Method","Atur Metode Pembayaran"
feature_others.application_usage_guide_content.title_5,"5. Operate Cashier","5. Operasikan Kasir"
feature_others.application_usage_guide_content.desc_5,"Operate Point of Sale by selecting the products that customers purchase","Operasikan Point of Sale dengan memilih produk yang pelanggan beli"
feature_others.application_usage_guide_content.button_text_5,"Operate Cashier","Operasikan Kasir"
feature_others.printer_connection_guide_content.title_1,"1. Provide Printer Device","1. Sediakan Perangkat Cetak"
feature_others.printer_connection_guide_content.desc_1,"The device needed is a Thermal Printer that has Bluetooth features with a paper width of 58mm.","Perangkat yang dibutuhkan adalah Thermal Printer yang memiliki fitur Bluetooth dengan lebar kertas 58mm"
feature_others.printer_connection_guide_content.title_2,"2. Pair Device","2. Hubungkan Perangkat"
feature_others.printer_connection_guide_content.desc_2,"Open settings and pair with the Thermal Printer device","Buka pengaturan dan pasangkan dengan perangkat Thermal Printer"
feature_others.printer_connection_guide_content.button_text_2,"Open Bluetooth Settings","Buka Pengaturan Bluetooth"
feature_others.printer_connection_guide_content.title_3,"3. Connects Printer","3. Hubungkan Printer"
feature_others.printer_connection_guide_content.desc_3,'Click the "Not Connected (Idle)" text button to connect.','Klik tombol teks "Tidak Terhubung (Diam)". Untuk menghubungkan'
feature_others.printer_connection_guide_content.title_4,"4. Choose Device","4. Pilih Perangkat"
feature_others.printer_connection_guide_content.desc_4,"Select the device according to its name and Mac Address.","Pilih perangkat sesuai dengan nama dan Mac Address"
feature_others.printer_connection_guide_content.title_5,"5. Device Connected","5. Perangkat Berhasil Terhubung"
feature_others.printer_connection_guide_content.desc_5,'When the printer status displays the name, the device is successfully connected. Click the "Print" button to print','Saat status printer menampilkan nama, perangkat berhasil terhubung. Klik tombol "Cetak" untuk mencetak'
feature_others.printer_connection_guide_content.button_text_5,"Test Printer","Tes Cetak"
esc_strings.no_printer_selected,No printer selected,Tidak ada printer terpilih
esc_strings.printing_in_progress,Printing in Progress,Sedang Mencetak
esc_strings.time_arg(arg),Time: $time_string,Waktu: $time_string
esc_strings.print_test_succeeded,Print test succeeded,Tes mencetak berhasil
esc_strings.phone_number(arg),Phone Number: $phone_number,No. Telp: $phone_number
esc_strings.method,Method,Metode
esc_strings.payment,Payment,Pembayaran
esc_strings.change,Change,Kembalian
esc_strings.thank_you_for_coming,Thank you for coming,Terima kasih sudah datang
esc_strings.journal,Journal,Journal
esc_strings.cancelled,CANCELLED,DIBATALKAN
esc_strings.income_report,INCOME REPORT,LAPORAN PENDAPATAN
esc_strings.total,TOTAL,TOTAL
esc_strings.product_sales,Product Sales,Penjualan Produk
esc_strings.qty(arg),$qty qty,$qty jml
esc_strings.income,Income,Pendapatan
esc_strings.printer_status,Printer status:,Status printer:
esc_strings.bluetooth_turned_off,Bluetooth turned off,Bluetooth mati
esc_strings.not_connected,Not Connected,Tidak Terhubung
esc_strings.printing,Printing,Mencetak
esc_strings.idle,Idle,Diam
esc_strings.paired_devices,Paired Devices,Perangkan yang Dikenali
esc_strings.cannot_find_device,"Cannot find device? Pair device!","Tidak menemukan perangkat? Kenali perangkat!"
esc_strings.failed_to_connect_device,Failed to connect device,Gagal menghubungkan perangkat
modified_text_form_widget.alert.empty(arg),"$item is empty","$item kosong"
modified_text_form_widget.alert.not_filled_yet(arg),"$item not filled yet","$item belum diisi"
modified_text_form_widget.alert.not_saved_yet(arg),"$item not saved yet","$item belum disimpan"
modified_text_form_widget.alert.has_been_filled(arg),"$item has been filled","$item sudah diisi"
modified_text_form_widget.alert.has_been_saved(arg),"$item has been saved","$item sudah disimpan"
modified_text_form_widget.alert.cannot_be_empty,Cannot be empty,Tidak boleh kosong
